2024-04-04 18:10:24,592 [INFO] You choosed the auto mode!
2024-04-04 18:10:32,010 [INFO] Creating links..
2024-04-04 18:10:32,010 [INFO] ..links creation done!
2024-04-04 18:10:32,071 [INFO] 91: {'endpoints': [55, 56], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,071 [INFO] 92: {'endpoints': [40, 56], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,072 [INFO] 93: {'endpoints': [56, 57], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,072 [INFO] 94: {'endpoints': [41, 57], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,073 [INFO] 95: {'endpoints': [57, 58], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,074 [INFO] 96: {'endpoints': [42, 58], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,074 [INFO] 97: {'endpoints': [58, 59], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,075 [INFO] 98: {'endpoints': [43, 59], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,076 [INFO] 99: {'endpoints': [59, 60], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,077 [INFO] 100: {'endpoints': [44, 60], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,077 [INFO] 101: {'endpoints': [60, 61], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,079 [INFO] 102: {'endpoints': [45, 61], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,080 [INFO] 103: {'endpoints': [61, 62], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,081 [INFO] 104: {'endpoints': [46, 62], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,081 [INFO] 105: {'endpoints': [62, 63], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,082 [INFO] 106: {'endpoints': [47, 63], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,082 [INFO] 107: {'endpoints': [63, 64], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,083 [INFO] 108: {'endpoints': [48, 64], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,083 [INFO] 109: {'endpoints': [49, 65], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,084 [INFO] 110: {'endpoints': [65, 66], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,084 [INFO] 111: {'endpoints': [50, 66], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,085 [INFO] 112: {'endpoints': [66, 67], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,085 [INFO] 113: {'endpoints': [51, 67], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,085 [INFO] 114: {'endpoints': [67, 68], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,086 [INFO] 115: {'endpoints': [52, 68], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,086 [INFO] 116: {'endpoints': [68, 69], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,087 [INFO] 117: {'endpoints': [53, 69], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,087 [INFO] 118: {'endpoints': [69, 70], 'capacity': 10, 'trafficPerc': 0}
