2024-03-14 16:50:42,835 [INFO] Loading files..
2024-03-14 16:50:42,851 [INFO] Loading network file..
2024-03-14 16:50:42,888 [INFO] ..done!
2024-03-14 16:50:42,890 [INFO] Loading packets file..
2024-03-14 16:50:49,656 [INFO] ..done!
2024-03-14 16:50:49,656 [INFO] Analyzing files..
2024-03-14 16:50:49,656 [INFO] Simulation parameters:
2024-03-14 16:50:49,656 [INFO] {'graphType': 'graph', 'isCustom': True, 'linkCap': None, 'simTime': 4, 'startSimTime': datetime.datetime(2024, 1, 1, 0, 0)}
2024-03-14 16:50:49,694 [DEBUG] UpdateDeltaTraffic sums:
2024-03-14 16:50:49,810 [DEBUG] updateTime: 2024-01-01 00:00:01.400000, packets sum: 45000
2024-03-14 16:50:49,810 [DEBUG] updateTime: 2024-01-01 00:00:01.500000, packets sum: 45000
2024-03-14 16:50:49,812 [DEBUG] updateTime: 2024-01-01 00:00:01.600000, packets sum: 45000
2024-03-14 16:50:49,813 [DEBUG] updateTime: 2024-01-01 00:00:01.700000, packets sum: 45000
2024-03-14 16:50:49,814 [DEBUG] updateTime: 2024-01-01 00:00:01.800000, packets sum: 45000
2024-03-14 16:50:49,815 [DEBUG] updateTime: 2024-01-01 00:00:01.900000, packets sum: 45000
2024-03-14 16:50:49,816 [DEBUG] updateTime: 2024-01-01 00:00:02, packets sum: 45000
2024-03-14 16:50:49,816 [DEBUG] updateTime: 2024-01-01 00:00:02.100000, packets sum: 123752
2024-03-14 16:50:49,818 [DEBUG] updateTime: 2024-01-01 00:00:02.200000, packets sum: 123752
2024-03-14 16:50:49,819 [DEBUG] updateTime: 2024-01-01 00:00:02.300000, packets sum: 123752
2024-03-14 16:50:49,819 [DEBUG] updateTime: 2024-01-01 00:00:02.400000, packets sum: 123752
2024-03-14 16:50:49,820 [DEBUG] updateTime: 2024-01-01 00:00:02.500000, packets sum: 123752
2024-03-14 16:50:49,821 [DEBUG] updateTime: 2024-01-01 00:00:02.600000, packets sum: 123752
2024-03-14 16:50:49,822 [DEBUG] updateTime: 2024-01-01 00:00:02.700000, packets sum: 123752
2024-03-14 16:50:49,823 [DEBUG] updateTime: 2024-01-01 00:00:02.800000, packets sum: 123752
2024-03-14 16:50:49,824 [DEBUG] updateTime: 2024-01-01 00:00:02.900000, packets sum: 123752
2024-03-14 16:50:49,824 [DEBUG] updateTime: 2024-01-01 00:00:03, packets sum: 123752
2024-03-14 16:50:49,825 [DEBUG] updateTime: 2024-01-01 00:00:03.100000, packets sum: 52500
2024-03-14 16:50:49,826 [DEBUG] updateTime: 2024-01-01 00:00:03.200000, packets sum: 52500
2024-03-14 16:50:49,826 [DEBUG] updateTime: 2024-01-01 00:00:03.300000, packets sum: 52500
