2024-02-12 15:36:03,581 [INFO] The choosen switches number is 3 and the network link capacity is 10 Mbps
2024-02-12 15:36:03,582 [INFO] LinkCap in Bytes: 1250000 B
2024-02-12 15:36:03,583 [INFO] Creating links..
2024-02-12 15:36:03,583 [INFO] Links creation done!Links created are:
2024-02-12 15:36:04,199 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 28, trafficPerc: 10
2024-02-12 15:36:04,201 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 28, trafficPerc: 60
2024-02-12 15:36:04,202 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 29, trafficPerc: 20
2024-02-12 15:36:04,202 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 29, trafficPerc: 0
2024-02-12 15:36:04,202 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 29, trafficPerc: 50
2024-02-12 15:36:04,218 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 30, trafficPerc: 30
2024-02-12 15:36:04,231 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 30, trafficPerc: 10
2024-02-12 15:36:04,232 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 30, trafficPerc: 60
2024-02-12 15:36:04,242 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 31, trafficPerc: 20
2024-02-12 15:36:04,244 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 31, trafficPerc: 20
2024-02-12 15:36:04,246 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 31, trafficPerc: 50
2024-02-12 15:36:04,274 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 32, trafficPerc: 10
2024-02-12 15:36:04,289 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 32, trafficPerc: 30
2024-02-12 15:36:04,293 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 32, trafficPerc: 40
2024-02-12 15:36:04,297 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 33, trafficPerc: 0
2024-02-12 15:36:04,298 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 33, trafficPerc: 40
2024-02-12 15:36:04,299 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 33, trafficPerc: 50
2024-02-12 15:36:04,303 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 34, trafficPerc: 0
2024-02-12 15:36:04,304 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 34, trafficPerc: 50
2024-02-12 15:36:04,305 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 34, trafficPerc: 60
2024-02-12 15:36:04,318 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 35, trafficPerc: 0
2024-02-12 15:36:04,321 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 35, trafficPerc: 60
2024-02-12 15:36:04,323 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 35, trafficPerc: 70
2024-02-12 15:36:04,337 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 36, trafficPerc: 0
2024-02-12 15:36:04,340 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 36, trafficPerc: 70
2024-02-12 15:36:04,342 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 36, trafficPerc: 60
2024-02-12 15:36:04,360 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 37, trafficPerc: 0
2024-02-12 15:36:04,361 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 37, trafficPerc: 60
2024-02-12 15:36:04,364 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 37, trafficPerc: 70
2024-02-12 15:36:04,372 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 38, trafficPerc: 10
2024-02-12 15:36:04,374 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 38, trafficPerc: 70
2024-02-12 15:36:04,375 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 38, trafficPerc: 60
2024-02-12 15:36:04,432 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 39, trafficPerc: 0
2024-02-12 15:36:04,433 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 39, trafficPerc: 80
2024-02-12 15:36:04,434 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 39, trafficPerc: 70
2024-02-12 15:36:04,450 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 40, trafficPerc: 10
2024-02-12 15:36:04,475 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 40, trafficPerc: 90
2024-02-12 15:36:04,494 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 40, trafficPerc: 80
